Local time,Open,High,Low,Close,Volume
02.09.2024 01:00:00.000 GMT+0300,2502.435,2504.545,2501.195,2504.065,204930
02.09.2024 01:15:00.000 GMT+0300,2503.855,2504.295,2503.435,2503.805,61019.99999999999
02.09.2024 01:30:00.000 GMT+0300,2503.785,2504.315,2503.318,2504.064,88350.0012
02.09.2024 01:45:00.000 GMT+0300,2503.965,2504.205,2503.008,2503.298,92549.9997
02.09.2024 02:00:00.000 GMT+0300,2503.294,2503.425,2501.995,2502.385,221759.9992
02.09.2024 02:15:00.000 GMT+0300,2502.425,2503.105,2501.815,2502.605,65460.0003
02.09.2024 02:30:00.000 GMT+0300,2502.605,2503.595,2501.935,2502.775,161030.0006
02.09.2024 02:45:00.000 GMT+0300,2502.765,2503.105,2501.915,2502.885,160740.0016
02.09.2024 03:00:00.000 GMT+0300,2502.875,2503.528,2502.325,2502.935,291380.0022
02.09.2024 03:15:00.000 GMT+0300,2502.865,2503.205,2502.385,2502.675,278249.9989
02.09.2024 03:30:00.000 GMT+0300,2502.705,2504.805,2502.675,2504.805,199230.00059999997
02.09.2024 03:45:00.000 GMT+0300,2504.825,2504.825,2501.078,2501.385,411969.9988
02.09.2024 04:00:00.000 GMT+0300,2501.398,2504.505,2499.088,2501.768,1243499.9906000001
02.09.2024 04:15:00.000 GMT+0300,2501.765,2503.988,2501.605,2502.945,514879.995
02.09.2024 04:30:00.000 GMT+0300,2502.995,2504.355,2496.944,2497.525,625699.9942
02.09.2024 04:45:00.000 GMT+0300,2497.535,2498.965,2496.505,2497.835,416940.00179999997
02.09.2024 05:00:00.000 GMT+0300,2497.835,2498.175,2493.138,2493.935,530870.009
02.09.2024 05:15:00.000 GMT+0300,2493.955,2495.468,2492.494,2492.494,261764.9994
02.09.2024 05:30:00.000 GMT+0300,2492.494,2493.465,2490.225,2490.635,496251.002
02.09.2024 05:45:00.000 GMT+0300,2490.645,2492.665,2489.915,2491.825,304050.0003
02.09.2024 06:00:00.000 GMT+0300,2491.815,2492.828,2491.245,2492.195,243339.99960000004
02.09.2024 06:15:00.000 GMT+0300,2492.115,2495.255,2491.475,2494.635,243310.0006
02.09.2024 06:30:00.000 GMT+0300,2494.655,2495.085,2493.715,2494.465,517189.99649999995
02.09.2024 06:45:00.000 GMT+0300,2494.465,2496.275,2494.415,2496.165,194969.99799999996
02.09.2024 07:00:00.000 GMT+0300,2496.175,2499.258,2496.165,2496.395,361750.0015
02.09.2024 07:15:00.000 GMT+0300,2496.385,2497.495,2496.075,2496.438,274529.99720000004
02.09.2024 07:30:00.000 GMT+0300,2496.395,2497.635,2496.395,2497.475,252960.00179999997
02.09.2024 07:45:00.000 GMT+0300,2497.475,2498.115,2496.158,2496.785,260159.99959999998
02.09.2024 08:00:00.000 GMT+0300,2496.805,2497.355,2495.705,2496.245,181829.99959999998
